trddatetime,clientid,ticker,exchange,dealside,vol,price,dealsize,currency,riskCode,age1,age2
42816,12985335,INDX.S19,TA,S,43,11480,4936.4,ILS,3,73,82
42850,12985335,5118617,TA,S,8748,114.58,10023.46,ILS,3,74,82
42870,12985335,XLV,US,S,73,75.41,19872.8,USD,3,74,82
42901,12985335,KT125.33,TA,S,309,12770,39459.3,ILS,3,74,82
42904,12985335,5126701,TA,B,2421,1273.81,30838.94,ILS,3,74,82
42925,12985335,5117957,TA,S,32000,118.29,37852.8,ILS,3,74,82
42925,12985335,5118625,TA,B,33789,112.65,38063.31,ILS,3,74,82
42956,12985335,HOT.B1,TA,S,22593.74,108.13,24430.61,ILS,3,74,82
42960,12985335,5118625,TA,B,30257,112.3,33978.61,ILS,3,74,82
42983,12985335,XLV,US,S,62,81.2,17962.74,USD,3,74,82
42984,12985335,HACK,US,S,0,0,0,USD,3,74,82
42989,12985335,HACK,US,S,310,30.1897,32952.37,USD,3,74,82
42989,12985335,BMO 2.35_0,OTC,B,15000,99.957,52792.29,USD,3,74,82
43039,12985335,5107321,TA,B,12581,79.51,10003.15,ILS,3,74,83
43039,12985335,IBLD.B15,TA,S,13897.65,113.53,15778,ILS,3,74,83
43110,12985335,5107321,TA,S,12581,80.33,10106.32,ILS,3,74,83
43142,12985335,5118625,TA,S,12947,115.04,14894.23,ILS,3,74,83
43150,12985335,MZIS.B37,TA,S,59250,106.25,62953.13,ILS,3,74,83
43151,12985335,5123138,TA,B,49518,106.83,52900.08,ILS,3,74,83
43212,12985335,5112388,TA,S,24794,138.93,34446.3,ILS,3,75,83
43212,12985335,5112420,TA,S,23887,138.36,33050.05,ILS,3,75,83
43212,12985335,GZT.B4,TA,S,24829,128.62,31935.06,ILS,3,75,83
43214,12985335,5126701,TA,S,2421,1317.49,31896.43,ILS,3,75,83
43214,12985335,INDX.S19,TA,S,221,12000,26520,ILS,3,75,83
43214,12985335,NSTR.B10,TA,S,29000,109.93,31879.7,ILS,3,75,83
43214,12985335,ILC.B5,TA,S,30000,102.21,30663,ILS,3,75,83
43279,12985335,5121835,TA,B,27829,107.54,29927.31,ILS,3,75,83
43279,12985335,5118625,TA,S,51099,114.77,58646.32,ILS,3,75,83
43279,12985335,5112909,TA,B,14968,153.57,22986.36,ILS,3,75,83
43417,12985335,AAPL 2.7 0,OTC,S,11000,97.762,39531.04,USD,3,75,84
43417,12985335,HYNMTR 3%,OTC,B,11000,98.031,39639.82,USD,3,75,84
43535,12985335,XLK,US,S,79,70.06,20096.64,USD,3,75,84
43636,12985335,5112909,TA,S,7113,154.92,11019.46,ILS,3,76,84
43817,12985335,5118617,TA,S,27261,128.43,35011.3,ILS,3,76,85
43829,12985335,5104922,TA,B,5181,192.57,9977.05,ILS,3,76,85
43829,12985335,5110408,TA,B,26493,150.99,40001.78,ILS,3,76,85
43830,12985335,5122825,TA,B,50730,114.24,57953.95,ILS,3,76,85
43997,12985335,BMO 2.35_0,OTC,S,15000,103.942,54008.26,USD,3,77,77
43997,12985335,IBDS,US,B,580,26.72,54164.11,USD,3,77,77
44013,12985335,IBDS,US,B,259,27.22,24350.63,USD,3,77,77
44013,12985335,XLK,US,S,67,104.56,24197.07,USD,3,77,77
44028,12985335,5112917,TA,B,54141,147.57,79895.87,ILS,3,77,77
44031,12985335,5125893,TA,B,38395,104.34,40061.34,ILS,3,77,77
44210,12985335,PCOK.B1,TA,S,18600,100.67,18724.62,ILS,3,77,77
44210,12985335,5119466,TA,B,8890,214.23,19045.05,ILS,3,77,77
44251,12985335,HYNMTR 3%,OTC,S,11000,100.151,35958.22,USD,3,77,77
44251,12985335,VOO,US,B,14,355.78,16257.72,USD,3,77,77
44251,12985335,IBDS,US,B,220,27.36545,19650.59,USD,3,77,77